,,,,,,,
,(1),(2),,,,,
Treated X Post,-0.0046,0.015,,,,,
,(0.372),(0.005),,,,,
Treated X Post X LTV T2,-0.0115,,,,,,
,(0.119),,,,,,
Treated X Post X LTV T3,0.0198,,,,,,
,(0.008),,,,,,
Treated X Post X Account Balance T2,,-0.0102,,,,,
,,(0.171),,,,,
Treated X Post X Account Balance T3,,-0.0166,,,,,
,,(0.026),,,,,
,7998,7998,,,,,
